Address,Price,Bedrooms,Bathrooms,Square Footage,Home Type
"140 Brookside Dr, Toronto, ON M4E 2M2","C$999,888",4 bds,3 ba,N/A,3 ba
"130 River St #2806, Toronto, ON M5A 0R8","C$429,900",1 bd,2 ba,N/A,2 ba
"2885 Bayview Ave UNIT 717, Toronto, ON M2K 0A3","C$689,000",2 bds,2 ba,N/A,2 ba
"20 Gladstone Ave #417, Toronto, ON M6J 0E9","C$729,000",2 bds,2 ba,N/A,2 ba
"570 Oriole Pkwy, Toronto, ON M4R 2C2","C$2,395,000",5 bds,4 ba,N/A,4 ba
"23 Radwell Cres, Toronto, ON M1V 2J4","C$899,000",5 bds,4 ba,N/A,4 ba
"1603 Eglinton Ave W #504, Toronto, ON M6E 0A1","C$768,000",3 bds,2 ba,N/A,2 ba
"801 Midland Ave, Toronto, ON M1K 4E8",C$1,4 bds,3 ba,N/A,3 ba
"48 Gondola Cres, Toronto, ON M1G 2J3","C$899,000",4 bds,2 ba,N/A,2 ba
"314 Rosemary Rd, Toronto, ON M5P 3E3","C$10,995,000",6 bds,9 ba,N/A,9 ba
"18 Oaken Gtwy #18, North York, ON M2P 2A1","C$999,000",3 bds,2 ba,N/A,2 ba
"21 Grand Magazine St #1907, Toronto, ON M5V 1B5","C$799,900",2 bds,2 ba,N/A,2 ba
"88 Turtle Island Rd #5, Toronto, ON M6A 2M7","C$899,500",3 bds,3 ba,N/A,3 ba
"2 Garden Cir, Toronto, ON M4G 2X8","C$2,150,000",4 bds,2 ba,N/A,2 ba
"4978 Yonge St UNIT 1911, Toronto, ON M2N 7G8","C$529,900",1 bd,1 ba,N/A,1 ba
"18 Earnbridge St, Toronto, ON M6K 1N3","C$1,999,999",4 bds,4 ba,"2,148 sqft","2,148 sqft"
"73 Maclean Ave, Toronto, ON M4E 2Z8","C$2,349,000",5 bds,5 ba,N/A,5 ba
"3 Biggar Ave, Toronto, ON M6H 2N5","C$1,795,000",5 bds,3 ba,N/A,3 ba
"455 Wellington St W #509, Toronto, ON M5V 0V8","C$2,250,000",3 bds,3 ba,N/A,3 ba
"20 Fletcher Pl, Toronto, ON M9R 1K6","C$899,000",3 bds,2 ba,N/A,2 ba
"20 Niagara St #PENTHOUSE 1, Toronto, ON M5V 3L8","C$6,298,800",2 bds,3 ba,"4,022 sqft","4,022 sqft"
"3 Dailing Gate, Toronto, ON M1B 1Z3","C$699,000",4 bds,3 ba,N/A,3 ba
"474 Russell Hill Rd, Toronto, ON M5P 2S7","C$16,895,000",5 bds,6 ba,N/A,6 ba
"1346 Danforth Rd #901, Toronto, ON M1J 0A9","C$475,000",2 bds,1 ba,N/A,1 ba
"112 Laurel Ave, Toronto, ON M1K 3J9","C$829,900",4 bds,2 ba,N/A,2 ba
"51 Harrison Garden Blvd #707, Toronto, ON M2N 7G4","C$498,800",2 bds,2 ba,N/A,2 ba
"20 Joe Shuster Way #202, Toronto, ON M6K 0A3","C$399,000",1 bd,1 ba,N/A,1 ba
"11 Kingsway Cres, Toronto, ON M8X 2P9","C$7,950,000",5 bds,7 ba,N/A,7 ba
"270 Brighton Ave, Toronto, ON M3H 4E9","C$1,898,000",5 bds,3 ba,N/A,3 ba
"38 S Kingslea Dr, Toronto, ON M8Y 2A4","C$5,000,000",5 bds,6 ba,N/A,6 ba
"63 Ward St, Toronto, ON M6H 4A5","C$899,900",4 bds,2 ba,N/A,2 ba
"816 Lansdowne Ave #1015, Toronto, ON M6H 4K6","C$580,000",1 bd,1 ba,N/A,1 ba
"80 Chiswell Cres, Toronto, ON M2N 6E1","C$1,678,000",4 bds,4 ba,N/A,4 ba
"6 Esterbrooke Ave #82, Toronto, ON M2J 2C2","C$579,000",2 bds,1 ba,N/A,1 ba
"160 Howland Ave, Toronto, ON M5R 3B6","C$2,999,999",4 bds,4 ba,N/A,4 ba
"58 Marine Parade Dr #1110, Toronto, ON M8V 4G1","C$1,110,000",3 bds,2 ba,"1,275 sqft","1,275 sqft"
"223 Kennedy Rd, Toronto, ON M1N 3P4","C$699,900",4 bds,3 ba,N/A,3 ba
"28A Wilberton Rd, Toronto, ON M4V 1Z3","C$3,848,000",5 bds,5 ba,N/A,5 ba
"20 Stewart St #204, Toronto, ON M5V 1H6","C$595,900",1 bd,1 ba,N/A,1 ba
"17 Maughan Cres, Toronto, ON M4L 3E4","C$1,749,000",3 bds,3 ba,N/A,3 ba
"2 Sonic Way #1708, Toronto, ON M3C 0P2","C$499,000",1 bd,1 ba,N/A,1 ba
