Address,Price,Bedrooms,Bathrooms,Square Footage,Home Type
"231 Falstaff Ave, Toronto, ON M6L 2G6","C$1,999,999",5 bds,5 ba,N/A,5 ba
"50 Bruyeres Mews #718, Toronto, ON M5V 0H8","C$588,000",2 bds,1 ba,N/A,1 ba
"48 Lockwood Rd, Toronto, ON M4L 3M8","C$1,529,000",4 bds,3 ba,N/A,3 ba
"200 Manitoba St #210, Toronto, ON M8Y 3Y9","C$789,000",2 bds,2 ba,N/A,2 ba
"1787 Saint Clair Ave W #917, Toronto, ON M6N 1H9","C$759,900",2 bds,2 ba,N/A,2 ba
"84 Chad Cres, Toronto, ON M1B 2Z6","C$1,079,000",4 bds,3 ba,N/A,3 ba
"176 Castlefield Ave, Toronto, ON M4R 1G7","C$1,719,000",4 bds,2 ba,N/A,2 ba
"42 Fishleigh Dr, Toronto, ON M1N 1H2","C$2,699,900",6 bds,5 ba,N/A,5 ba
"43 Florida Cres, Toronto, ON M9M 1P4","C$1,388,000",4 bds,3 ba,N/A,3 ba
"34 Kippendavie Ave, Toronto, ON M4L 3R4","C$1,769,000",3 bds,2 ba,N/A,2 ba
"203 Parkmount Rd, Toronto, ON M4J 4V5","C$799,000",4 bds,3 ba,N/A,3 ba
"7 Doncaster Ave, Toronto, ON M4C 1Y4","C$1,389,000",3 bds,4 ba,N/A,4 ba
"11 Beaumont Rd, Toronto, ON M4W 1V4","C$19,995,000",4 bds,4 ba,N/A,4 ba
"42 Charles St E #2810, Toronto, ON M4Y 0B7","C$649,000",1 bd,1 ba,N/A,1 ba
"1659 Gerrard St E, Toronto, ON M4L 2A9",C$1,8 bds,8 ba,N/A,8 ba
"29 Tarsus Cres, Toronto, ON M1C 3W6","C$1,250,000",5 bds,4 ba,N/A,4 ba
"101 Dunloe Rd, Toronto, ON M5P 2T7","C$13,990,000",5 bds,7 ba,N/A,7 ba
"2 Bellefair Ave UNIT 306, Toronto, ON M4L 3T8","C$707,000",1 bd,1 ba,N/A,1 ba
"225 Sumach St #2511, Toronto, ON M5A 0P8","C$749,900",2 bds,2 ba,N/A,2 ba
"20 Edward St #1719, Toronto, ON M5G 0C5","C$579,000",1 bd,1 ba,N/A,1 ba
"117 Omni Dr #15, Toronto, ON M1P 5A5","C$599,900",3 bds,3 ba,N/A,3 ba
"8 Telegram Mews #622, Toronto, ON M5V 3Z5","C$499,000",2 bds,2 ba,N/A,2 ba
"104 Albany Ave, Toronto, ON M5R 3C4","C$2,790,000",5 bds,4 ba,N/A,4 ba
"4060 Lawrence Ave E #108, Toronto, ON M1E 4V4","C$483,900",3 bds,3 ba,N/A,3 ba
"20 Blue Jays Way #1106, Toronto, ON M5V 3W6","C$850,000",3 bds,2 ba,N/A,2 ba
"17 Zorra St #701, Toronto, ON M8Z 0C8","C$469,900",1 bd,1 ba,N/A,1 ba
"897 Sheppard Ave W #202, Toronto, ON M3H 2T4","C$489,000",1 bd,1 ba,713 sqft,713 sqft
"77 Charles St W #906, Toronto, ON M5S 0B2","C$2,999,000",2 bds,2 ba,N/A,2 ba
"125 Alicewood Ct, Toronto, ON M9V 3Y1","C$899,999",4 bds,2 ba,940 sqft,940 sqft
"284 Ellis Ave, Toronto, ON M6S 2X2","C$4,250,000",6 bds,7 ba,N/A,7 ba
"300 Mill Rd #A31, Toronto, ON M9C 4W7","C$649,000",2 bds,2 ba,N/A,2 ba
"40 Fern Ave, Toronto, ON M6R 1K1","C$1,799,000",4 bds,3 ba,N/A,3 ba
"290 Adelaide St W #2405, Toronto, ON M5V 1N1","C$988,000",3 bds,2 ba,N/A,2 ba
"78 Harrison Garden Blvd #2305, Toronto, ON M2N 7E2","C$978,000",3 bds,3 ba,N/A,3 ba
"104 Natal Ave, Toronto, ON M1N 3V6","C$1,059,000",3 bds,2 ba,N/A,2 ba
"214 Antibes Dr, Toronto, ON M2R 3H8","C$768,000",4 bds,3 ba,N/A,3 ba
"20 Amesbury Dr, Toronto, ON M6M 4H4","C$1,099,000",3 bds,2 ba,N/A,2 ba
"503 Beecroft Rd #515, Toronto, ON M2N 0A2","C$648,800",2 bds,1 ba,N/A,1 ba
"163 Brickworks Ln, Toronto, ON M6N 5H8","C$910,000",3 bds,4 ba,N/A,4 ba
"56 Amiens Rd, Toronto, ON M1E 3S8","C$900,000",4 bds,2 ba,N/A,2 ba
"50 Ordnance St #1703, Toronto, ON M6K 0C9","C$549,900",1 bd,1 ba,N/A,1 ba
