Unnamed: 0,Street address,Zip/Postal Code,Latitude,Longitude,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area,geometry,Neighbourhood,Total_crimes (2020-2024),Average_total_crime (per_year),Total_severe_crimes (2020-2024),Average_severe_crimes (per_year),Total_moderate_crimes (2020-2024),Average_moderate_crimes (per_year),Total_minor_crimes (2020-2024),Average_minor_crimes (per_year)
10,2478 W 5th Ave,V6K1S8,49.267165,-123.161621,Vancouver,849000.0,2 bds,2 ba,855 sqft,0,0,0,10,67,6,79,33,1,11,0,0,0,0,4,POINT (-123.161621 49.267165),Kitsilano,5811.0,1162.0,305.0,61.0,864.0,173.0,4642.0,928.0
11,4513 Nanaimo St,V5N5J2,49.244586,-123.057159,Vancouver,748800.0,1 bd,1 ba,678 sqft,0,2,0,4,88,0,52,3,0,7,0,0,0,0,2,POINT (-123.057159 49.244586),Kensington-Cedar Cottage,5970.0,1194.0,642.0,128.0,743.0,149.0,4585.0,917.0
12,3462 Dartmoor Pl,V5S4G2,49.210305,-123.028942,Vancouver,790000.0,3 bds,2 ba,"1,268 sqft",0,0,0,1,60,0,5,2,0,2,0,0,0,0,0,POINT (-123.028942 49.210305),Killarney,2576.0,515.0,287.0,57.0,306.0,61.0,1983.0,397.0
13,838 Hamilton St #1009,V6B6A2,49.278326,-123.116209,Vancouver,350000.0,2 bds,1 ba,595 sqft,0,9,29,17,164,39,307,183,1,148,0,0,0,0,11,POINT (-123.116209 49.278326),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
14,1201 Lameys Mill Rd #22,V6H3S8,49.267408,-123.134371,Vancouver,925000.0,2 bds,2 ba,"1,499 sqft",1,0,5,10,92,7,130,61,1,41,0,0,0,0,6,POINT (-123.134371 49.267408),Fairview,7292.0,1458.0,456.0,91.0,1071.0,214.0,5765.0,1153.0
15,3945 Alice St #2,V5N4J6,49.249891,-123.066147,Vancouver,1399000.0,3 bds,3 ba,"1,111 sqft",0,3,0,5,84,0,64,9,0,17,0,0,0,0,4,POINT (-123.066147 49.249891),Kensington-Cedar Cottage,5970.0,1194.0,642.0,128.0,743.0,149.0,4585.0,917.0
16,1480 Howe St #P5-502,V6Z0G5,49.274891,-123.131173,Vancouver,89800.0,Studio,1ba,70 sqft,0,1,11,13,103,18,234,101,0,79,0,0,0,0,8,POINT (-123.131173 49.274891),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
17,2711 Point Grey Rd,V6K1A4,49.272416,-123.166684,Vancouver,14900000.0,4 bds,6 ba,"4,870 sqft",0,0,0,8,42,6,65,27,0,7,0,0,0,0,2,POINT (-123.166684 49.272416),Kitsilano,5811.0,1162.0,305.0,61.0,864.0,173.0,4642.0,928.0
18,1828 SE Marine Dr,V5P2R3,49.210319,-123.069152,Vancouver,1160000.0,3 bds,3 ba,"1,431 sqft",0,0,1,0,49,0,5,0,0,4,0,0,0,0,0,POINT (-123.069152 49.210319),Victoria-Fraserview,2680.0,536.0,260.0,52.0,272.0,54.0,2148.0,430.0
19,4788 Belmont Ave,V6T1A9,49.274912,-123.219831,Vancouver,28888000.0,7 bds,11 ba,"10,077 sqft",0,0,0,0,15,0,2,0,0,3,0,0,0,0,0,POINT (-123.219831 49.274912),West Point Grey,1463.0,293.0,100.0,20.0,313.0,63.0,1050.0,210.0
20,1042 Ironwork Pass,V6H3P1,49.268132,-123.128577,Vancouver,1399000.0,3 bds,2 ba,"1,522 sqft",1,2,7,9,109,12,199,81,1,67,0,0,0,0,8,POINT (-123.128577 49.268132),Fairview,7292.0,1458.0,456.0,91.0,1071.0,214.0,5765.0,1153.0
